Year,Month,usg_apt,flights_count,total_passengers
1990,July,BRW,1,94
1990,July,BUF,3,15238
1990,July,BWI,17,53253
1990,July,CHS,1,216
1990,July,CLE,7,26399
1990,July,CLM,1,3052
1990,July,CLT,4,19422
1990,July,COS,1,61
1990,July,CVG,9,37611
1990,July,DCA,1,95
1990,July,DEN,10,27910
1990,July,DFW,42,276761
1990,July,DSM,1,71
1990,July,DTW,22,150432
1990,July,EFD,1,58
1990,July,ELP,1,3269
1990,July,ERI,1,7225
1990,July,EWR,49,291893
1990,July,FAI,1,105
1990,July,FAR,1,91
1990,July,FLL,18,40459
1990,July,GEG,2,26528
1990,July,GSP,1,10
1990,July,GUM,22,122004
1990,July,GVW,1,471
1990,July,HNL,50,514586
1990,July,HOU,1,281
1990,July,IAD,21,128404
1990,July,IAH,38,229455
1990,July,IND,11,5042
1990,July,JAX,1,123
1990,July,JFK,222,1830148
1990,July,JON,1,1358
1990,July,LAS,6,20800
1990,July,LAX,112,919835
1990,July,LGA,7,125977
1990,July,LIT,1,113
1990,July,MAZ,1,2049
1990,July,MCI,3,1929
1990,July,MCO,56,140362
1990,July,MDW,1,6920
1990,July,MEM,3,3442
1990,July,MFE,1,5003
1990,July,MIA,173,946117
1990,July,MKE,11,11165
1990,July,MSN,1,195
1990,July,MSP,13,70125
1990,July,MSY,9,17466
1990,July,NIP,1,347
1990,July,OAK,1,570
1990,July,OKC,1,101
1990,July,ONT,2,998
1990,July,ORD,60,503822
1990,July,ORF,3,321
1990,July,OSH,1,119
1990,July,PBI,1,603
1990,July,PDX,5,28253
1990,July,PHL,23,82898
1990,July,PHX,5,7599
1990,July,PIA,1,169
1990,July,PIE,5,8558
1990,July,PIT,4,17070
1990,July,PNS,1,48
1990,July,PPG,5,7808
1990,July,PSM,1,145
1990,July,RDU,6,20044
1990,July,RIC,1,313
1990,July,RNO,3,5553
1990,July,ROC,1,15185
1990,July,ROR,2,4825
1990,July,RSW,1,684
1990,July,SAN,2,6664
1990,July,SAT,6,21555
1990,July,SBA,1,878
1990,July,SDF,1,148
1990,July,SEA,20,205194
1990,July,SFO,41,397704
1990,July,SHV,2,406
1990,July,SJC,2,19774
1990,July,SJU,52,225250
1990,July,SLC,4,43436
1990,July,SPN,13,79054
1990,July,STL,7,25212
1990,July,STT,2,295
1990,July,STX,1,105
1990,July,SWF,1,251
1990,July,SYR,2,24803
1990,July,TPA,14,38474
1990,July,TUL,1,209
1990,July,TUS,2,8122
1990,July,TYS,2,427
1990,August,ACY,8,4416
1990,August,ADW,1,48
1990,August,ALB,2,136
1990,August,ANC,31,150146
1990,August,ATL,23,189286
1990,August,AUS,1,141
1990,August,BDL,4,1730
1990,August,BFI,1,392
1990,August,BGR,34,84956
1990,August,BHM,4,710
1990,August,BLI,1,72
1990,August,BNA,3,18329
1990,August,BOI,1,250
1990,August,BOS,50,346580
1990,August,BQN,1,467
1990,August,BRW,1,122
1990,August,BTR,1,100
1990,August,BUF,3,17877
1990,August,BWI,18,56836
1990,August,CDB,1,39
1990,August,CHS,1,276
1990,August,CLE,6,31562
1990,August,CLM,1,3588
1990,August,CLT,5,23990
1990,August,CRP,1,151
1990,August,CVG,11,39492
1990,August,DCA,1,24
1990,August,DEN,10,26546
1990,August,DFW,36,272124
1990,August,DTW,25,172119
1990,August,ELP,1,2783
1990,August,ERI,1,8580
1990,August,EWR,45,308911
1990,August,FAI,1,128
1990,August,FAR,1,89
1990,August,FLL,19,43641
1990,August,GEG,2,27295
1990,August,GSO,1,115
1990,August,GUM,24,131267
1990,August,HNL,55,557316
1990,August,IAD,20,133328
1990,August,IAH,38,230168
1990,August,IND,12,4233
1990,August,JFK,212,1912077
1990,August,JON,1,1531
1990,August,LAS,7,23786
1990,August,LAX,114,1002503
1990,August,LGA,6,149188
1990,August,MAZ,1,1594
1990,August,MCI,4,2507
1990,August,MCO,52,133413
1990,August,MDW,1,52
1990,August,MEM,3,3029
1990,August,MFE,1,5378
1990,August,MGM,1,92
1990,August,MIA,162,969480
1990,August,MKE,3,10612
1990,August,MSP,17,72726
1990,August,MSY,10,19158
1990,August,OAK,1,739
1990,August,OFF,1,40
1990,August,OKC,2,641
1990,August,ONT,2,1243
1990,August,ORD,61,525995
1990,August,ORF,1,304
1990,August,PBI,6,1785
1990,August,PDX,4,31552
1990,August,PHL,21,87632
1990,August,PHX,4,6423
1990,August,PIE,4,8462
1990,August,PIT,8,20913
1990,August,PPG,5,7042
1990,August,PVD,1,151
1990,August,RAP,1,111
1990,August,RDU,4,20876
1990,August,RNO,5,7626
1990,August,ROC,1,19355
1990,August,ROR,2,4942
1990,August,RSW,3,842
1990,August,SAN,3,7910
1990,August,SAT,6,23457
1990,August,SAV,1,56
1990,August,SCK,2,80
1990,August,SDF,1,100
1990,August,SEA,25,229465
1990,August,SFO,40,431131
1990,August,SHV,1,210
1990,August,SJC,2,22002
1990,August,SJU,48,206342
1990,August,SLC,4,42974
1990,August,SPN,14,80729
1990,August,STL,5,28738
1990,August,STT,1,59
1990,August,STX,2,266
1990,August,SUU,1,210
1990,August,SWF,2,769
1990,August,SYR,2,28905
1990,August,TEB,1,27
1990,August,TPA,15,44284
1990,August,TUS,2,8232
1990,August,TYS,1,74
1990,August,UAM,1,255
1990,September,ACY,5,2976
1990,September,ADW,1,558
1990,September,ANC,28,134540
1990,September,ATL,24,152125
1990,September,AUS,1,53
1990,September,BDL,3,1753
1990,September,BGR,32,86643
1990,September,BHM,1,80
1990,September,BLI,1,63
1990,September,BNA,2,12632
1990,September,BOS,54,292900
1990,September,BQN,1,387
1990,September,BRW,1,164
1990,September,BUF,4,14856
1990,September,BWI,13,41394
1990,September,CLE,8,25678
1990,September,CLM,2,3489
1990,September,CLT,5,20201
1990,September,CSG,1,196
1990,September,CVG,7,30942
1990,September,DAY,2,84
1990,September,DCA,1,43
1990,September,DEN,9,16320
1990,September,DFW,36,207114
1990,September,DTW,21,130445
1990,September,ELP,1,1335
1990,September,ERI,1,5788
1990,September,EWR,42,225231
1990,September,FAI,1,176
1990,September,FAR,1,334
1990,September,FLL,21,32744
1990,September,GEG,4,15653
1990,September,GRR,3,283
1990,September,GSO,1,50
1990,September,GSP,1,129
1990,September,GTF,1,424
1990,September,GUM,24,116365
1990,September,HNL,53,445699
1990,September,IAD,17,113467
1990,September,IAH,32,154451
1990,September,IND,3,772
1990,September,JAX,1,239
1990,September,JFK,208,1455781
1990,September,JON,1,925
1990,September,LAN,1,64
1990,September,LAS,26,33333
1990,September,LAX,115,788835
1990,September,LGA,7,122815
1990,September,MAZ,1,907
1990,September,MCI,3,1637
1990,September,MCO,45,116370
1990,September,MEM,2,2380
1990,September,MFE,1,3547
1990,September,MIA,152,733692
1990,September,MKE,1,6666
1990,September,MSP,11,55807
1990,September,MSY,10,10568
1990,September,MWH,4,1473
1990,September,NCO,2,363
1990,September,OAK,2,429
1990,September,ONT,3,247
1990,September,ORD,59,432506
1990,September,PBI,1,623
1990,September,PDX,6,24985
1990,September,PHL,17,65331
1990,September,PHX,4,5115
1990,September,PIE,3,7399
1990,September,PIT,5,15567
1990,September,POB,1,150
1990,September,PPG,4,6132
1990,September,PSP,1,86
1990,September,PVD,1,14
1990,September,RDU,5,14942
1990,September,RNO,5,9454
1990,September,ROC,1,13942
1990,September,ROR,2,3837
1990,September,RSW,1,913
1990,September,SAN,4,6565
1990,September,SAT,6,11670
1990,September,SEA,21,162727
1990,September,SFO,39,342205
1990,September,SJC,3,17670
1990,September,SJU,42,155478
1990,September,SLC,3,33959
1990,September,SPN,16,81427
1990,September,STL,7,20007
1990,September,STT,2,54
1990,September,SWF,6,1543
1990,September,SYR,2,25060
1990,September,TPA,16,32940
1990,September,TUL,1,191
1990,September,TUS,3,6645
1990,October,ACY,7,4463
1990,October,ALB,2,136
1990,October,ANC,25,129031
1990,October,ATL,22,161353
1990,October,BDL,5,1782
1990,October,BGR,27,69935
1990,October,BLI,1,10
1990,October,BNA,5,13321
1990,October,BOS,45,258435
1990,October,BRW,1,34
1990,October,BUF,4,16072
1990,October,BWI,13,40570
1990,October,CHS,4,579
1990,October,CLE,6,27368
1990,October,CLM,1,3495
1990,October,CLT,6,20491
1990,October,CMH,1,278
1990,October,CSG,1,34
1990,October,CVG,6,32982
1990,October,DAY,1,352
1990,October,DEN,13,15595
1990,October,DFW,31,221172
1990,October,DSM,1,73
1990,October,DTW,22,115102
1990,October,ELP,1,1679
1990,October,ERI,1,5533
1990,October,EWR,42,203778
1990,October,FAI,1,45
1990,October,FLL,24,37638
1990,October,GEG,4,10706
1990,October,GTF,1,828
1990,October,GUM,22,103572
1990,October,HNL,49,415364
1990,October,HUF,1,236
1990,October,IAD,21,100601
1990,October,IAH,35,167946
1990,October,IND,10,3240
1990,October,ISP,1,86
1990,October,JAX,1,76
1990,October,JFK,180,1217894
1990,October,JON,1,819
1990,October,LAS,21,47063
1990,October,LAX,108,728386
1990,October,LGA,7,116762
1990,October,MAZ,1,752
1990,October,MCI,2,983
1990,October,MCO,47,113158
1990,October,MEM,2,2554
1990,October,MFE,2,3753
1990,October,MIA,149,721500
1990,October,MKE,3,6626
1990,October,MSP,7,52040
1990,October,MSY,13,9353
1990,October,NGU,1,100
1990,October,OAK,1,99
1990,October,OKC,1,114
1990,October,ONT,1,96
1990,October,ORD,52,392125
1990,October,ORF,2,192
1990,October,PBI,6,4325
1990,October,PDX,5,18858
1990,October,PHL,15,66540
1990,October,PHX,4,5742
1990,October,PIE,4,9735
1990,October,PIT,7,14502
1990,October,PPG,4,4398
1990,October,PSP,1,1178
1990,October,PVD,1,54
1990,October,RDU,4,17269
1990,October,RIC,1,340
1990,October,RNO,9,13956
1990,October,ROC,1,16119
1990,October,ROR,3,3504
1990,October,RSW,3,1209
1990,October,SAN,3,8350
1990,October,SAT,5,14845
1990,October,SEA,23,131232
1990,October,SFO,38,319811
1990,October,SJC,3,16934
1990,October,SJU,45,158217
1990,October,SLC,3,33202
1990,October,SMF,1,228
1990,October,SPN,12,70070
1990,October,STL,6,19112
1990,October,STT,1,64
1990,October,SYR,2,26685
1990,October,TPA,11,50310
1990,October,TUL,1,139
1990,October,TUS,2,7324
1990,November,ABE,1,138
1990,November,ACY,5,4144
1990,November,ADW,3,1114
1990,November,ALB,1,330
1990,November,ANC,25,93591
1990,November,ATL,24,135890
1990,November,BDL,4,1692
1990,November,BGR,22,31728
1990,November,BHM,1,118
1990,November,BIL,1,38
1990,November,BLI,1,1
1990,November,BNA,5,11484
1990,November,BOS,38,205863
1990,November,BQN,2,173
1990,November,BRO,1,93
1990,November,BUF,3,14992
1990,November,BWI,10,34347
1990,November,CDB,1,332
1990,November,CHS,3,875
1990,November,CLE,7,21666
1990,November,CLM,1,2635
1990,November,CLT,4,19987
1990,November,CVG,8,25051
1990,November,DCA,1,93
1990,November,DEN,13,14896
1990,November,DFW,32,206295
1990,November,DTW,15,87512
1990,November,ELP,1,1928
1990,November,ERI,1,4480
1990,November,EWR,40,188501
1990,November,FLL,32,114667
1990,November,GEG,3,7953
1990,November,GSP,1,113
1990,November,GTF,1,192
1990,November,GUM,28,110925
1990,November,HGR,1,122
1990,November,HNL,53,430705
1990,November,IAD,19,82063
1990,November,IAG,2,115
1990,November,IAH,35,179575
1990,November,IND,13,3835
1990,November,JAX,2,187
1990,November,JFK,176,958053
1990,November,JON,1,979
1990,November,LAS,32,60826
1990,November,LAX,103,670168
1990,November,LGA,10,158984
1990,November,LGB,1,120
1990,November,MAZ,1,797
1990,November,MCI,1,995
1990,November,MCO,37,94653
1990,November,MEM,2,2674
1990,November,MFE,2,4678
1990,November,MIA,167,843286
1990,November,MKE,1,5562
1990,November,MSP,7,45964
1990,November,MSY,10,8099
1990,November,MWH,1,228
1990,November,OAK,1,131
1990,November,ORD,50,317212
1990,November,ORF,2,141
1990,November,PBI,8,10274
1990,November,PDX,6,17417
1990,November,PHL,11,43655
1990,November,PHX,4,4817
1990,November,PIA,1,430
1990,November,PIE,7,19256
1990,November,PIT,6,12642
1990,November,PPG,3,3136
1990,November,PSE,1,113
1990,November,PSP,2,2412
1990,November,RAP,1,76
1990,November,RDU,7,16081
1990,November,RIC,1,1693
1990,November,RNO,13,21869
1990,November,ROC,1,9280
1990,November,ROR,2,4088
1990,November,RSW,5,3544
1990,November,SAN,5,9058
1990,November,SAT,5,14936
1990,November,SBN,1,714
1990,November,SDF,1,151
1990,November,SEA,21,96528
1990,November,SFO,40,300624
1990,November,SJC,3,15793
1990,November,SJU,42,175508
1990,November,SLC,4,31690
1990,November,SMF,1,52
1990,November,SPN,13,72750
1990,November,STL,4,14027
1990,November,STT,1,9
1990,November,SWF,2,245
1990,November,SYR,2,22168
1990,November,TLH,1,604
1990,November,TPA,15,83042
1990,November,TUL,1,100
1990,November,TUS,2,8340
1990,December,ACY,5,2707
1990,December,ADW,3,713
1990,December,ALB,2,108
